title,company,location,minimum salary,rating,urgent hiring,link
Python Developer,Systemonex INC,"New York, NY","
$35 - $45 an hour",,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY","
$80,000 - $150,000 a year",,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
Software Engineer Senior Instructor,MIM,"New York, NY","
$87,000 - $130,000 a year",,,https://www.indeed.com/viewjob?jk=f1433de8cb7a6bf7
"Quantitative Investment Analytics, Sr. Analyst","
Global Atlantic Financial Group","New York, NY",,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
Bioinformatics Programmer,"
NYU Langone Health","New York, NY",,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
Data Science Instructor,MIM,"New York, NY","
$87,000 - $130,000 a year",,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY","
$65,000 - $110,000 a year",,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
IT Internship,"
NPower","New York, NY","
$15 - $16 an hour",3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
Tutor in Python online,"
MakerState","New York, NY","
$18 - $25 an hour",4.0,0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
"Editorial Production Associate, The New Yorker","
Conde Nast","New York, NY",,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
Python Hacker - Machine Learning,"
Morgan Stanley","New York, NY",,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
Junior Laboratory Associate,"
New York University","New York, NY","
$40,000 a year",4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
Short-Term Casual,"
Columbia University","New York, NY","
$25.40 an hour",4.1,,https://www.indeed.com/viewjob?jk=a8f7fa4fcd38236f
Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
Python Developer with Front end development,Peopleforce INC,"New York, NY","
$45 - $55 an hour",,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
BVAL Corporate Bond Evaluator,"
Bloomberg","New York, NY",,3.9,,https://www.indeed.com/viewjob?jk=e6bf47fd6b059b7b
Python Developer,Systemonex INC,"New York, NY","
$35 - $45 an hour",,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
Bioinformatics Programmer,"
NYU Langone Health","New York, NY",,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
"Quantitative Investment Analytics, Sr. Analyst","
Global Atlantic Financial Group","New York, NY",,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
Data Science Instructor,MIM,"New York, NY","
$87,000 - $130,000 a year",,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY","
$65,000 - $110,000 a year",,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
IT Internship,"
NPower","New York, NY","
$15 - $16 an hour",3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
Tutor in Python online,"
MakerState","New York, NY","
$18 - $25 an hour",4.0,0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
"Editorial Production Associate, The New Yorker","
Conde Nast","New York, NY",,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
Python Hacker - Machine Learning,"
Morgan Stanley","New York, NY",,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
Junior Laboratory Associate,"
New York University","New York, NY","
$40,000 a year",4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
Short-Term Casual,"
Columbia University","New York, NY","
$25.40 an hour",4.1,,https://www.indeed.com/viewjob?jk=a8f7fa4fcd38236f
Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
Python Developer with Front end development,Peopleforce INC,"New York, NY","
$45 - $55 an hour",,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
Electronic Trading Solutions - Operations Professional,"
Bloomberg","New York, NY",,3.9,,https://www.indeed.com/viewjob?jk=e24d79bdd3d66b6d
Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY","
$80,000 - $150,000 a year",,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
Python Developer,Systemonex INC,"New York, NY","
$35 - $45 an hour",,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
Bioinformatics Programmer,"
NYU Langone Health","New York, NY",,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
Data Science Instructor,MIM,"New York, NY","
$87,000 - $130,000 a year",,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY","
$65,000 - $110,000 a year",,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
IT Internship,"
NPower","New York, NY","
$15 - $16 an hour",3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
Tutor in Python online,"
MakerState","New York, NY","
$18 - $25 an hour",4.0,0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
"Editorial Production Associate, The New Yorker","
Conde Nast","New York, NY",,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
Python Hacker - Machine Learning,"
Morgan Stanley","New York, NY",,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
Junior Laboratory Associate,"
New York University","New York, NY","
$40,000 a year",4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
Short-Term Casual,"
Columbia University","New York, NY","
$25.40 an hour",4.1,,https://www.indeed.com/viewjob?jk=a8f7fa4fcd38236f
Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
Python Developer with Front end development,Peopleforce INC,"New York, NY","
$45 - $55 an hour",,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
"Quantitative Investment Analytics, Sr. Analyst","
Global Atlantic Financial Group","New York, NY",,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY","
$80,000 - $150,000 a year",,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
Python Developer,Systemonex INC,"New York, NY","
$35 - $45 an hour",,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
Bioinformatics Programmer,"
NYU Langone Health","New York, NY",,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
Data Science Instructor,MIM,"New York, NY","
$87,000 - $130,000 a year",,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY","
$65,000 - $110,000 a year",,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
