,title,company,location,minimum salary,rating,urgent hiring,link
0,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
1,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
2,Software Engineer Senior Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=f1433de8cb7a6bf7
3,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
4,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
5,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
6,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
7,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
8,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
9,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
10,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
11,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
12,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
14,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
15,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
16,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
17,BVAL Corporate Bond Evaluator,Bloomberg,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=e6bf47fd6b059b7b
18,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
19,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
20,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
21,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
22,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
23,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
24,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
25,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
26,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
27,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
28,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
29,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
31,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
32,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
